,category,info_authority,info_display_parents,info_fossil_range,info_grandparent_authority,info_greatgrandparent_authority,info_image,info_image2,info_image2_alt,info_image2_caption,info_image_alt,info_image_caption,info_image_upright,info_image_widt,info_name,info_parent_authority,info_subdivision,info_subdivision_ranks,info_synonyms,info_synonyms_ref,info_taxon,info_type_genus,info_type_genus_authority,info_type_species,info_type_species_authority,ns,pageid,title,views,jp_cloned,jp_skeleton,jurassic,cretaceous,triassic,paleocene,permian
679,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,,,,,,,,,,,,,,,,,,,,,,,,,0,5026990,Medusaceratops,26.34246575342466,False,False,False,True,False,False,False
124,Category:Middle Jurassic dinosaurs of Europe|Category:Middle Jurassic dinosaurs of Europe|Category:Middle Jurassic dinosaurs of Europe,,,,,,,,,,,,,,,,,,,,,,,,,0,3563449,Lexovisaurus,26.295890410958904,False,False,True,False,False,False,False
715,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,", ",2,", {{fossilrange|96.7}}",,,Eolambia.png,,,,,Skull reconstruction (A) and life restoration (B),,,,,,,,,Eolambia,,,{{extinct}}'''''Eolambia caroljonesa''''',"Kirkland, 1998",0,3534822,Eolambia,26.276712328767122,False,False,False,True,False,False,False
189,Category:Late Jurassic dinosaurs," et al. 2016 ''sensu'' Foth & Rauhut, 2017",,- {{Fossil range|165|122}},,,Anchiornis huxleyi skel hartman 2017.png,,,,,"Skeletal restoration of '''' by Scott Hartman, 2017",1.1,,,,"*{{extinct}}''''
*{{extinct}}''''
*{{extinct}}''''
*{{extinct}}''''
*{{extinct}}''''
*{{extinct}}''''
*{{extinct}}''''
*{{extinct}}''''
*{{extinct}}''''",Genera,"*'''Tetrapterygidae''' 
*""'''Anchiornithosaurs'''"" 
*'''Anchiorninae''' [sic]",,Anchiornithidae,,,{{extinct}}''''," ''et al.'', 2009",0,55948459,Anchiornithidae,26.276712328767122,False,False,True,False,False,False,False
889,Category:Late Cretaceous dinosaurs of Asia|Category:Late Cretaceous dinosaurs of Asia,"Nowinski, 1971",,", {{fossil range|70}}",,,Opisthocoelicaudia Museum of Evolution in Warsaw 14.JPG,,,,,"Cast of the skull of ''Nemegtosaurus'', on a mounted ''Opisthocoelicaudia'' skeleton, , ",,,,,"'''''N. mongoliensis''''' 
'''''N. pachi'''''",Species,* ''''?,,Nemegtosaurus,,,,,0,3548787,Nemegtosaurus,26.246575342465754,False,False,False,True,False,False,False
732,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,"Bakker, 1988",,", {{fossilrange|68|66}}",,,Dinosaur exhibit - Houston Museum of Natural Science - DSC01881.JPG,,,,,"Skeleton casts of ''Denversaurus'' (""Tank"") and '''', ",,,,,,,,,Denversaurus,,,{{extinct}}'''''Denversaurus schlessmani''''',"Bakker, 1988",0,4347576,Denversaurus,26.213698630136985,False,False,False,True,False,False,False
782,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,"Lucas, Sullivan & Hunt, 2006",,", {{fossil range|77}}",,,Agujaceratops.jpg,,,,,Skeletal restoration,1.15,,,,"* '''''A. mariscalensis''''' 
* '''''A. mavericus'''''",Species,* ''Chasmosaurus mariscalensis'',,Agujaceratops,,,{{extinct}}'''''Agujaceratops mariscalensis''''',"(Lehman, 1989)",0,5353650,Agujaceratops,26.172602739726027,False,False,False,True,False,False,False
107,Category:Middle Jurassic dinosaurs of South America|Category:Middle Jurassic dinosaurs of South America,,,,,,,,,,,,,,,,,,,,,,,,,0,3552821,Piatnitzkysaurus,26.164383561643834,False,False,True,False,False,False,False
778,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,,,,,,,,,,,,,,,,,,,,,,,,,0,9560146,Albertaceratops,26.164383561643834,False,False,False,True,False,False,False
25,Category:Late Triassic dinosaurs,,,,,,,,,,,,,,,,,,,,,,,,,0,3607072,Alwalkeria,25.997260273972604,False,False,False,False,True,False,False
